campaign_id,campaign_name,date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,cpc,ctr,inline_link_clicks,inline_link_click_ctr,purchases,purchase_value,checkouts_initiated,purchase_roas,cpa,cvr
6972562335830,Magic - Test Sales Campaign,2025-12-09,2025-12-09,1852.92,50602,34173,1.48076,36.617525,1862,0.995124,3.679696,1532,3.027548,60.0,1797.19,,0.969923,30.882,0.0391644908616188
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-09,2025-12-09,152.29,4697,3710,1.266038,32.422823,191,0.79733,4.066425,153,3.257398,4.0,209.65,,1.37665,38.0725,0.026143790849673203
6976513156630,ASC - Magic Portraits,2025-12-09,2025-12-09,223.58,6370,4810,1.324324,35.098901,235,0.951404,3.689168,198,3.10832,7.0,201.71,,0.902183,31.94,0.03535353535353535
6972562335830,Magic - Test Sales Campaign,2025-12-10,2025-12-10,2398.8,65754,45882,1.433111,36.481431,1923,1.247426,2.924537,1578,2.399854,56.0,1742.85,,0.726551,42.83571428571429,0.035487959442332066
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-10,2025-12-10,158.24,4451,3639,1.223138,35.551561,181,0.874254,4.066502,151,3.392496,3.0,95.84,,0.605662,52.74666666666667,0.019867549668874173
6976513156630,ASC - Magic Portraits,2025-12-10,2025-12-10,667.32,16718,12304,1.358745,39.916258,543,1.22895,3.247996,448,2.679746,21.0,843.94,,1.264671,31.77714285714286,0.046875
6972562335830,Magic - Test Sales Campaign,2025-12-11,2025-12-11,1941.34,55602,43468,1.279148,34.914931,1757,1.104917,3.159958,1435,2.580842,53.0,1592.04,,0.820073,36.629056603773584,0.036933797909407665
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-11,2025-12-11,154.37,4611,3731,1.235862,33.478638,187,0.825508,4.055519,144,3.122967,4.0,197.85,,1.281661,38.5925,0.027777777777777776
6976513156630,ASC - Magic Portraits,2025-12-11,2025-12-11,466.22,12151,8738,1.390593,38.368859,396,1.177323,3.258991,322,2.649988,15.0,533.99,,1.145361,31.081333333333337,0.046583850931677016
6985706012030,1 - Testing,2025-12-11,2025-12-11,28.19,631,504,1.251984,44.675119,20,1.4095,3.169572,20,3.169572,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-12,2025-12-12,1851.37,52950,42384,1.249292,34.964495,1842,1.005087,3.478754,1431,2.70255,57.0,1715.54,,0.926633,32.48017543859649,0.039832285115303984
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-12,2025-12-12,104.37,3251,2781,1.169004,32.103968,104,1.003558,3.199016,84,2.58382,5.0,157.75,,1.51145,20.874000000000002,0.05952380952380952
6976513156630,ASC - Magic Portraits,2025-12-12,2025-12-12,839.45,22197,15209,1.459465,37.818174,815,1.03,3.671667,659,2.96887,24.0,920.86,,1.09698,34.97708333333333,0.036418816388467376
6985706012030,1 - Testing,2025-12-12,2025-12-12,27.79,577,438,1.317352,48.162912,19,1.462632,3.292894,15,2.599653,,,,,,
6972562335830,Magic - Test Sales Campaign,2025-12-13,2025-12-13,1703.84,48963,38681,1.265815,34.798521,1849,0.921493,3.776321,1530,3.124809,54.0,2150.04,,1.261879,31.552592592592593,0.03529411764705882
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-13,2025-12-13,93.23,2675,2187,1.223137,34.852336,154,0.60539,5.757009,127,4.747664,2.0,79.91,,0.857128,46.615,0.015748031496062992
6976513156630,ASC - Magic Portraits,2025-12-13,2025-12-13,738.5,17564,12920,1.359443,42.046231,737,1.002035,4.196083,636,3.621043,23.0,974.64,,1.319756,32.108695652173914,0.036163522012578615
6985706012030,1 - Testing,2025-12-13,2025-12-13,25.63,579,422,1.372038,44.265976,9,2.847778,1.554404,9,1.554404,2.0,159.92,,6.239563,12.815,0.2222222222222222
6972562335830,Magic - Test Sales Campaign,2025-12-14,2025-12-14,1972.91,63923,49089,1.302186,30.863852,2277,0.866451,3.562098,1833,2.867512,62.0,2112.64,,1.070824,31.821129032258067,0.03382433169667212
6976510154030,ASC - Magic Portraits - CC ($35),2025-12-14,2025-12-14,114.39,2950,2486,1.186645,38.776271,137,0.834964,4.644068,108,3.661017,4.0,177.76,,1.553982,28.5975,0.037037037037037035
