date_start,date_stop,spend,impressions,reach,frequency,cpm,clicks,ctr,inline_link_clicks,age,gender,purchases,purchase_value,checkouts_initiated,purchase_roas,cpc,inline_link_click_ctr,cpa,cvr
2025-11-24,2025-11-24,76.602671,1899,1324,1.43429,40.338426,45,2.369668,34,35-44,female,,,,,1.702282,1.790416,,
2025-11-24,2025-11-24,4.820168,164,106,1.54717,29.391269,3,1.829268,2,35-44,male,,,,,1.606723,1.219512,,
2025-11-24,2025-11-24,0.790028,33,13,2.538462,23.940229,4,12.121212,4,35-44,unknown,,,,,0.197507,12.121212,,
2025-11-24,2025-11-24,244.938541,5257,3527,1.490502,46.592836,211,4.013696,181,45-54,female,8.0,141.4,,0.577288,1.160846,3.443028,30.617317625,0.04419889502762431
2025-11-24,2025-11-24,16.330569,427,291,1.467354,38.244893,15,3.512881,12,45-54,male,,,,,1.088705,2.810304,,
2025-11-24,2025-11-24,1.340047,16,12,1.333333,83.75292,0,0.0,0,45-54,unknown,,,,,,,,
2025-11-24,2025-11-24,286.529991,6053,4057,1.491989,47.336856,295,4.873616,241,55-64,female,7.0,94.09,,0.328377,0.971288,3.981497,40.932855857142854,0.029045643153526972
2025-11-24,2025-11-24,21.990767,583,340,1.714706,37.720012,10,1.715266,11,55-64,male,1.0,31.92,,1.451518,2.199077,1.886792,21.990767,0.09090909090909091
2025-11-24,2025-11-24,1.320046,27,19,1.421053,48.890594,1,3.703704,1,55-64,unknown,,,,,1.320046,3.703704,,
2025-11-24,2025-11-24,171.435978,3448,2334,1.477292,49.720411,151,4.37935,130,65+,female,6.0,139.78,,0.815348,1.135338,3.770302,28.572663000000002,0.046153846153846156
2025-11-24,2025-11-24,15.680547,382,236,1.618644,41.048552,6,1.570681,6,65+,male,,,,,2.613424,1.570681,,
2025-11-24,2025-11-24,0.770027,19,15,1.266667,40.527729,0,0.0,0,65+,unknown,,,,,,,,
2025-11-25,2025-11-25,2.32135,37,33,1.121212,62.739199,2,5.405405,1,18-24,female,,,,,1.160675,2.702703,,
2025-11-25,2025-11-25,0.040023,5,5,1.0,8.004656,0,0.0,0,18-24,male,,,,,,,,
2025-11-25,2025-11-25,0.210122,4,2,2.0,52.530558,0,0.0,0,18-24,unknown,,,,,,,,
2025-11-25,2025-11-25,12.487264,426,292,1.458904,29.312826,4,0.938967,4,25-34,female,,,,,3.121816,0.938967,,
2025-11-25,2025-11-25,1.751019,52,35,1.485714,33.673435,1,1.923077,0,25-34,male,,,,,1.751019,,,
2025-11-25,2025-11-25,0.370215,4,2,2.0,92.55384,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-25,2025-11-25,88.151279,2568,1818,1.412541,34.326822,80,3.115265,60,35-44,female,1.0,51.94,,0.589214,1.101891,2.336449,88.151279,0.016666666666666666
2025-11-25,2025-11-25,7.544389,254,167,1.520958,29.702318,2,0.787402,1,35-44,male,,,,,3.772194,0.393701,,
2025-11-25,2025-11-25,0.590343,34,19,1.789474,17.363042,0,0.0,0,35-44,unknown,,,,,,,,
2025-11-25,2025-11-25,234.476399,6131,4510,1.359424,38.244397,254,4.14288,199,45-54,female,5.0,99.82,,0.425714,0.923135,3.2458,46.8952798,0.02512562814070352
2025-11-25,2025-11-25,18.300646,485,348,1.393678,37.73329,17,3.505155,15,45-54,male,,,,,1.076509,3.092784,,
2025-11-25,2025-11-25,0.630367,22,16,1.375,28.653032,1,4.545455,1,45-54,unknown,,,,,0.630367,4.545455,,
2025-11-25,2025-11-25,261.251975,6401,4701,1.361625,40.814244,213,3.327605,178,55-64,female,10.0,198.64,,0.760339,1.226535,2.780816,26.125197500000002,0.056179775280898875
2025-11-25,2025-11-25,25.18465,621,392,1.584184,40.554993,22,3.542673,18,55-64,male,2.0,39.9,,1.584298,1.144757,2.898551,12.592325,0.1111111111111111
2025-11-25,2025-11-25,1.470856,24,20,1.2,61.285651,2,8.333333,1,55-64,unknown,,,,,0.735428,4.166667,,
2025-11-25,2025-11-25,139.761302,3186,2378,1.339781,43.867326,118,3.703704,92,65+,female,3.0,90.82,,0.649822,1.184418,2.887633,46.587100666666664,0.03260869565217391
2025-11-25,2025-11-25,12.457247,303,223,1.358744,41.113025,10,3.30033,9,65+,male,1.0,3.99,,0.320296,1.245725,2.970297,12.457247,0.1111111111111111
2025-11-25,2025-11-25,0.950553,15,13,1.153846,63.370197,2,13.333333,2,65+,unknown,,,,,0.475276,13.333333,,
2025-11-26,2025-11-26,2.650105,66,50,1.32,40.153113,2,3.030303,2,18-24,female,,,,,1.325053,3.030303,,
2025-11-26,2025-11-26,0.160006,7,5,1.4,22.858052,0,0.0,0,18-24,male,,,,,,,,
2025-11-26,2025-11-26,0.0,2,1,2.0,0.0,0,0.0,0,18-24,unknown,,,,,,,,
2025-11-26,2025-11-26,17.270687,556,389,1.429306,31.062387,13,2.33813,12,25-34,female,1.0,3.99,,0.231027,1.328514,2.158273,17.270687,0.08333333333333333
2025-11-26,2025-11-26,1.200048,67,59,1.135593,17.91116,1,1.492537,1,25-34,male,,,,,1.200048,1.492537,,
2025-11-26,2025-11-26,0.100004,6,6,1.0,16.66733,0,0.0,0,25-34,unknown,,,,,,,,
2025-11-26,2025-11-26,109.194344,3246,2250,1.442667,33.639662,99,3.049908,87,35-44,female,5.0,95.76,,0.876969,1.102973,2.680222,21.8388688,0.05747126436781609
2025-11-26,2025-11-26,10.770428,351,227,1.546256,30.684981,15,4.273504,12,35-44,male,,,,,0.718029,3.418803,,
2025-11-26,2025-11-26,0.790031,28,17,1.647059,28.215408,1,3.571429,1,35-44,unknown,,,,,0.790031,3.571429,,
2025-11-26,2025-11-26,285.81137,7499,5297,1.415707,38.113264,253,3.373783,207,45-54,female,4.0,70.11,,0.245302,1.129689,2.760368,71.4528425,0.01932367149758454
2025-11-26,2025-11-26,22.36089,707,522,1.354406,31.627849,20,2.828854,17,45-54,male,4.0,96.33,,4.307968,1.118044,2.404526,5.5902225,0.23529411764705882
2025-11-26,2025-11-26,2.130085,28,24,1.166667,76.074455,3,10.714286,3,45-54,unknown,,,,,0.710028,10.714286,,
2025-11-26,2025-11-26,330.483148,7889,5378,1.466902,41.89164,315,3.992902,283,55-64,female,12.0,231.26,,0.699763,1.049153,3.587273,27.540262333333335,0.04240282685512368
2025-11-26,2025-11-26,27.761104,809,563,1.436945,34.315333,21,2.595797,21,55-64,male,,,,,1.321957,2.595797,,
2025-11-26,2025-11-26,1.680067,47,34,1.382353,35.746103,2,4.255319,1,55-64,unknown,,,,,0.840033,2.12766,,
2025-11-26,2025-11-26,174.006922,3819,2650,1.441132,45.563478,171,4.477612,145,65+,female,3.0,61.34,,0.352515,1.017584,3.796805,58.002307333333334,0.020689655172413793
2025-11-26,2025-11-26,17.020677,456,336,1.357143,37.326046,12,2.631579,9,65+,male,,,,,1.41839,1.973684,,
2025-11-26,2025-11-26,2.070082,49,35,1.4,42.246579,2,4.081633,2,65+,unknown,,,,,1.035041,4.081633,,
2025-11-27,2025-11-27,3.510877,122,98,1.244898,28.777684,4,3.278689,4,18-24,female,,,,,0.877719,3.278689,,
